Species,Plot,Observers,Date,North_Int,South_Int,East_Int,West_Int,Total_Int,
Rosa nitida,CS_09,IR & GR,2019-07-11,0,5,1,0,6,
Cornus stolonifera,CS_09,IR & GR,2019-07-11,2,0,3,3,8,
Viburnum edule,CS_09,IR & GR,2019-07-11,0,0,0,2,2,
Acer rubrum,CS_09,IR & GR,2019-07-11,1,0,0,2,3,
Betula papyrifera,CS_09,IR & GR,2019-07-11,0,0,0,1,1,
Sorbus america,CS_09,IR & GR,2019-07-11,1,0,0,0,1,
UK shrub 2,CS_09,IR & GR,2019-07-11,0,0,4,4,8,
Kalmia angustifolia,CS_10,IR & GR,2019-07-10,5,5,5,5,20,
Vaccinium angustifolium,CS_10,IR & GR,2019-07-10,4,2,2,1,9,
Picea maria,CS_10,IR & GR,2019-07-10,5,5,5,5,20,
Rhododendron cadense,CS_10,IR & GR,2019-07-10,0,4,5,0,9,
Rhododendron groenlandicum,CS_10,IR & GR,2019-07-10,0,0,5,5,10,
Kalmia angustifolia,CS_11,YW & AM,2019-07-11,5,5,5,5,20,
Amelanchier Spp.,CS_11,YW & AM,2019-07-11,4,1,0,0,5,
Picea maria,CS_11,YW & AM,2019-07-11,1,0,2,0,3,
Viburnum nudum,CS_11,YW & AM,2019-07-11,0,2,0,0,2,
Kalmia angustifolia,CS_12,YW & AM,2019-07-12,5,5,5,5,20,
Amelanchier Spp.,CS_12,YW & AM,2019-07-12,1,0,1,1,3,
Picea glauca,CS_12,YW & AM,2019-07-12,0,1,0,0,1,
Picea maria,CS_12,YW & AM,2019-07-12,0,0,1,0,1,
Vaccinium angustifolium,CS_12,YW & AM,2019-07-12,0,0,1,0,1,
Alnus inca,CS_13,YW & AM,2019-07-12,5,0,1,4,10,
Kalmia angustifolia,CS_13,YW & AM,2019-07-12,5,5,5,5,20,
Amelanchier Spp.,CS_13,YW & AM,2019-07-12,1,3,1,0,5,
Rhododendron groenlandicum,CS_13,YW & AM,2019-07-12,4,0,0,0,4,
Picea maria,CS_13,YW & AM,2019-07-12,3,0,1,0,4,
Viburnum nudum,CS_13,YW & AM,2019-07-12,0,0,2,0,2,
Kalmia angustifolia,CS_14,YW & AM,2019-07-12,5,5,5,5,20,
Picea glauca,CS_14,YW & AM,2019-07-12,0,0,1,0,1,
Alnus inca,CS_14,YW & AM,2019-07-12,0,0,1,0,1,
Amelanchier Spp.,CS_14,YW & AM,2019-07-12,0,2,0,2,4,
Vaccinium angustifolium,CS_14,YW & AM,2019-07-12,0,0,0,1,1,
Rhododendron cadense,CS_14,YW & AM,2019-07-12,0,0,0,2,2,
Alnus inca,CS_15,IR & GR,2019-07-12,1,0,0,2,3,
Kalmia angustifolia,CS_16,IR & GR,2019-07-12,14,62,10,24,110,
Picea maria,CS_16,IR & GR,2019-07-12,5,0,10,5,20,
Rhododendron groenlandicum,CS_16,IR & GR,2019-07-12,0,4,0,0,4,
Vaccinium angustifolium,CS_16,IR & GR,2019-07-12,0,0,0,1,1,
Vaccinium angustifolium,CS_17,IR & GR,2019-07-12,1,11,0,0,12,
Kalmia angustifolia,CS_17,IR & GR,2019-07-12,35,74,76,19,204,
Betula papyrifera,CS_17,IR & GR,2019-07-12,1,0,0,0,1,
Alnus inca,CS_17,IR & GR,2019-07-12,1,0,0,0,1,
Amelanchier Spp.,CS_17,IR & GR,2019-07-12,0,0,1,0,1,
Picea maria,CS_17,IR & GR,2019-07-12,0,0,16,5,21,
Kalmia angustifolia,CS_18,IR & GR,2019-07-19,218,106,60,39,423,
Picea maria,CS_18,IR & GR,2019-07-19,0,0,0,2,2,
Vaccinium angustifolium,CS_18,IR & GR,2019-07-19,15,1,0,0,16,
Kalmia angustifolia,CS_19,IR & GR,2019-07-17,72,113,52,92,329,
Vaccinium angustifolium,CS_19,IR & GR,2019-07-17,22,14,7,2,45,
Amelanchier Spp.,CS_19,IR & GR,2019-07-17,0,5,0,6,11,
Picea maria,CS_19,IR & GR,2019-07-17,3,0,1,0,4,
Picea glauca,CS_19,IR & GR,2019-07-17,0,1,0,0,1,
Rhododendron groenlandicum,CS_19,IR & GR,2019-07-17,0,4,0,0,4,
Acer rubrum,CS_19,IR & GR,2019-07-17,0,1,0,0,1,
Kalmia angustifolia,CS_20,IR & GR,2019-07-24,33,65,9,124,231,
Pteridium aquilinum,CS_20,IR & GR,2019-07-24,18,36,1,29,84,
Vaccinium angustifolium,CS_20,IR & GR,2019-07-24,4,2,1,12,19,
Sorbus america,CS_20,IR & GR,2019-07-24,1,0,0,0,1,
Amelanchier Spp.,CS_20,IR & GR,2019-07-24,1,0,0,0,1,
Viburnum Spp.,CS_20,IR & GR,2019-07-24,0,1,0,0,1,
Picea maria,CS_20,IR & GR,2019-07-24,0,0,0,1,1,
Rhododendron groenlandicum,CS_20,IR & GR,2019-07-24,0,0,0,1,1,
Kalmia angustifolia,CS_21,IR & GR,2019-07-22,91,81,98,53,323,
Vaccinium angustifolium,CS_21,IR & GR,2019-07-22,17,4,7,2,30,
Betula papyrifera,CS_21,IR & GR,2019-07-22,1,0,0,0,1,
Picea maria,CS_21,IR & GR,2019-07-22,0,1,0,1,2,
Picea glauca,CS_21,IR & GR,2019-07-22,0,1,0,0,1,
Kalmia angustifolia,CS_22,IR & GR,2019-07-15,31,84,121,116,352,
Vaccinium angustifolium,CS_22,IR & GR,2019-07-15,2,16,10,43,71,
Alnus inca,CS_22,IR & GR,2019-07-15,5,0,0,0,5,
Picea maria,CS_22,IR & GR,2019-07-15,0,0,0,0,0,
Amelanchier Spp.,CS_22,IR & GR,2019-07-15,0,1,2,1,4,
Pteridium aquilinum,CS_23,IR & GR,2019-07-26,8,3,13,18,42,
Kalmia angustifolia,CS_23,IR & GR,2019-07-26,4,0,0,44,48,
Vaccinium angustifolium,CS_23,IR & GR,2019-07-26,1,0,0,24,25,
Picea glauca,CS_23,IR & GR,2019-07-26,0,0,1,0,1,
Amelanchier Spp.,CS_23,IR & GR,2019-07-26,0,1,0,1,2,
Picea maria,CS_23,IR & GR,2019-07-26,0,2,0,0,2,
Aralia nudicaulis,CS_23,IR & GR,2019-07-26,0,0,0,1,1,
Kalmia angustifolia,CS_24,IR & GR,2019-07-22,35,23,106,73,237,
Vaccinium angustifolium,CS_24,IR & GR,2019-07-22,1,2,11,10,24,
Picea maria,CS_24,IR & GR,2019-07-22,0,4,0,0,4,
Amelanchier Spp.,CS_24,IR & GR,2019-07-22,3,1,3,0,7,
Picea glauca,CS_24,IR & GR,2019-07-22,0,1,0,0,1,
Picea glauca,CS_25,IR & GR,2019-07-16,1,0,0,0,1,
Kalmia angustifolia,CS_25,IR & GR,2019-07-16,0,0,5,0,5,
Amelanchier Spp.,CS_25,IR & GR,2019-07-16,0,0,1,0,1,
Vaccinium angustifolium,CS_25,IR & GR,2019-07-16,0,0,2,2,4,
Picea maria,CS_25,IR & GR,2019-07-16,0,0,1,0,1,
Kalmia angustifolia,CS_26,IR & GR,2019-07-25,18,0,0,0,18,
Picea maria,CS_26,IR & GR,2019-07-25,1,2,0,0,3,
Vaccinium angustifolium,CS_26,IR & GR,2019-07-25,1,0,0,1,2,
Kalmia angustifolia,CS_27,IR & GR,2019-07-21,21,40,8,3,72,
Vaccinium angustifolium,CS_27,IR & GR,2019-07-21,9,24,4,10,47,
Amelanchier Spp.,CS_27,IR & GR,2019-07-21,2,4,0,0,6,
Picea maria,CS_27,IR & GR,2019-07-21,0,0,1,2,3,
Rhododendron groenlandicum,CS_27,IR & GR,2019-07-21,0,0,0,3,3,
Alnus inca,CS_28,IR & GR,2019-07-28,46,135,74,125,380,
Kalmia angustifolia,CS_28,IR & GR,2019-07-28,23,9,34,32,98,
Rhododendron groenlandicum,CS_28,IR & GR,2019-07-28,14,27,2,0,43,
Amelanchier Spp.,CS_28,IR & GR,2019-07-28,7,0,0,0,7,
Vaccinium angustifolium,CS_28,IR & GR,2019-07-28,1,0,0,0,1,
Picea maria,CS_28,IR & GR,2019-07-28,3,0,0,0,3,
Rubus idaeus,CS_28,IR & GR,2019-07-28,0,2,1,1,4,
Larix larici,CS_28,IR & GR,2019-07-28,0,1,0,0,1,
Sorbus america,CS_29,YW & AM,2019-07-13,2,0,0,0,2,
Kalmia angustifolia,CS_29,YW & AM,2019-07-13,1,0,0,0,1,
Picea glauca,CS_29,YW & AM,2019-07-13,0,0,1,0,1,
Aralia nudicaulis,CS_30,IR & GR,2019-07-30,2,0,2,2,6,
Vaccinium angustifolium,CS_30,IR & GR,2019-07-30,0,0,1,0,1,
Kalmia angustifolia,CS_30,IR & GR,2019-07-30,0,0,0,5,5,
Alnus inca,CS_31,IR & GR,2019-07-20,0,1,0,0,1,
Dryopteris carthusia,CS_31,IR & GR,2019-07-20,1,0,0,0,1,
Aralia nudicaulis,CS_32,IR & GR,2019-07-27,2,0,0,1,3,
Kalmia angustifolia,CS_32,IR & GR,2019-07-27,4,0,0,0,4,
Vaccinium angustifolium,CS_32,IR & GR,2019-07-27,0,0,2,1,3,
Kalmia angustifolia,CS_33,IR & GR,2019-07-16,0,0,0,1,1,
Vaccinium angustifolium,CS_33,IR & GR,2019-07-16,0,0,0,1,1,
UK 1,CS_33,IR & GR,2019-07-16,0,0,0,1,1,
Betula papyrifera,CS_33,IR & GR,2019-07-16,0,0,1,0,1,
Betula papyrifera,CS_34,IR & GR,2019-07-13,1,0,0,0,1,
Dryopteris intermedia,CS_34,IR & GR,2019-07-13,2,0,1,1,4,
UK FERN 2,CS_34,IR & GR,2019-07-13,2,0,0,0,2,
Aralia nudicaulis,CS_34,IR & GR,2019-07-13,0,3,2,0,5,
Vaccinium angustifolium,CS_35,IR & GR,2019-07-29,0,0,0,4,4,
Rhododendron groenlandicum,CS_35,IR & GR,2019-07-29,0,0,0,5,5,
Sorbus america,CS_36,IR & GR,2019-07-14,1,0,0,0,1,
Viburnum Spp.,CS_36,IR & GR,2019-07-14,0,0,1,0,1,
Alnus inca,CS_37,IR & GR,2019-07-25,18,0,19,1,38,
Osmundastrum cinmomea,CS_37,IR & GR,2019-07-25,21,0,37,0,58,
Rhododendron groenlandicum,CS_37,IR & GR,2019-07-25,6,0,32,0,38,
Kalmia angustifolia,CS_37,IR & GR,2019-07-25,1,0,32,0,33,
Larix larici,CS_37,IR & GR,2019-07-25,3,0,2,2,7,
Picea maria,CS_37,IR & GR,2019-07-25,2,0,6,0,8,
Amelanchier Spp.,CS_37,IR & GR,2019-07-25,1,0,0,0,1,
Viburnum Spp.,CS_37,IR & GR,2019-07-25,1,0,0,0,1,
Cornus stolonifera,CS_37,IR & GR,2019-07-25,0,0,1,0,1,
Chamaedaphne calyculata,CS_37,IR & GR,2019-07-25,0,0,1,0,1,
Picea maria,CS_38,IR & GR,2019-07-22,0,2,0,0,2,
Aralia nudicaulis,CS_38,IR & GR,2019-07-22,0,0,0,7,7,
Kalmia angustifolia,CS_39,IR & GR,2019-07-24,12,0,9,25,46,
Vaccinium angustifolium,CS_39,IR & GR,2019-07-24,1,0,1,0,2,
Amelanchier Spp.,CS_39,IR & GR,2019-07-24,0,0,0,1,1,
Kalmia angustifolia,CS_40,IR & GR,2019-07-17,1,0,22,0,23,
Vaccinium angustifolium,CS_40,IR & GR,2019-07-17,2,6,0,0,8,
Aralia nudicaulis,CS_40,IR & GR,2019-07-17,0,4,0,1,5,
Alnus inca,CS_41,IR & GR,2019-07-28,37,33,18,25,113,
Cornus stolonifera,CS_41,IR & GR,2019-07-28,4,0,0,0,4,
Betula papyrifera,CS_41,IR & GR,2019-07-28,0,0,2,0,2,
Viburnum edule,CS_41,IR & GR,2019-07-28,4,0,0,0,4,
Rubus idaeus,CS_41,IR & GR,2019-07-28,6,4,1,0,11,
Athyrium filix-femi,CS_41,IR & GR,2019-07-28,1,0,0,2,3,
Kalmia angustifolia,CS_41,IR & GR,2019-07-28,0,1,1,1,3,
Sorbus america,CS_41,IR & GR,2019-07-28,0,0,2,0,2,
Amelanchier Spp.,CS_41,IR & GR,2019-07-28,0,2,0,1,3,
Picea maria,CS_41,IR & GR,2019-07-28,0,1,0,1,2,
Acer rubrum,CS_41,IR & GR,2019-07-28,0,0,0,1,1,
Kalmia angustifolia,CS_42,IR & GR,2019-07-13,24,0,0,0,24,
Alnus inca,CS_42,IR & GR,2019-07-13,3,0,0,0,3,
Picea maria,CS_42,IR & GR,2019-07-13,0,0,2,0,2,
Aralia nudicaulis,CS_42,IR & GR,2019-07-13,0,0,1,0,1,
Alnus inca,CS_43,IR & GR,2019-07-26,4,0,24,1,29,
Ribes Spp.,CS_43,IR & GR,2019-07-26,1,0,0,0,1,
Dryopteris carthusia,CS_43,IR & GR,2019-07-26,1,3,0,0,4,
Sorbus america,CS_43,IR & GR,2019-07-26,0,4,1,0,5,
Kalmia angustifolia,CS_43,IR & GR,2019-07-26,0,15,1,0,16,
Picea maria,CS_43,IR & GR,2019-07-26,0,0,1,2,3,
Amelanchier Spp.,CS_43,IR & GR,2019-07-26,0,1,0,0,1,
Vaccinium angustifolium,CS_43,IR & GR,2019-07-26,0,3,0,0,3,
Picea maria,CS_44,IR & GR,2019-07-23,5,0,0,0,5,
Kalmia angustifolia,CS_44,IR & GR,2019-07-23,47,0,0,1,48,
Amelanchier Spp.,CS_44,IR & GR,2019-07-23,5,0,0,2,7,
Alnus inca,CS_44,IR & GR,2019-07-23,0,1,0,0,1,
Picea glauca,CS_44,IR & GR,2019-07-23,0,0,0,1,1,
Vaccinium angustifolium,CS_44,IR & GR,2019-07-23,0,0,0,2,2,
Sorbus america,CS_44,IR & GR,2019-07-23,0,0,0,1,1,
Alnus inca,CS_45,IR & GR,2019-07-19,36,3,13,16,68,
Rhododendron groenlandicum,CS_45,IR & GR,2019-07-19,3,0,0,0,3,
Sorbus america,CS_45,IR & GR,2019-07-19,0,0,2,0,2,
Kalmia angustifolia,CS_45,IR & GR,2019-07-19,0,0,1,0,1,
Picea maria,CS_45,IR & GR,2019-07-19,0,0,1,0,1,
Rubus idaeus,CS_45,IR & GR,2019-07-19,0,6,0,0,6,
Dryopteris intermedia,CS_45,IR & GR,2019-07-19,0,4,0,1,5,
Amelanchier Spp.,CS_45,IR & GR,2019-07-19,0,1,0,0,1,
Acer rubrum,CS_45,IR & GR,2019-07-19,0,0,0,1,1,
Kalmia angustifolia,CS_46,IR & GR,2019-07-25,0,33,0,0,33,
Vaccinium angustifolium,CS_46,IR & GR,2019-07-25,1,0,1,0,2,
Aralia nudicaulis,CS_46,IR & GR,2019-07-25,2,0,0,0,2,
Dryopteris cristata,CS_46,IR & GR,2019-07-25,0,0,0,1,1,
Alnus inca,CS_47,IR & GR,2019-07-14,17,3,6,3,29,
Amelanchier Spp.,CS_47,IR & GR,2019-07-14,1,1,0,0,2,
UK FERN,CS_47,IR & GR,2019-07-14,0,0,13,0,13,
Dryopteris intermedia,CS_47,IR & GR,2019-07-14,0,13,4,1,18,
Cornus stolonifera,CS_47,IR & GR,2019-07-14,0,0,2,0,2,
Viburnum edule,CS_47,IR & GR,2019-07-14,0,0,1,0,1,
Aralia nudicaulis,CS_47,IR & GR,2019-07-14,0,3,0,0,3,
Sorbus america,CS_47,IR & GR,2019-07-14,0,3,0,0,3,
Kalmia angustifolia,CS_47,IR & GR,2019-07-14,0,1,0,0,1,
Alnus inca,CS_48,IR & GR,2019-07-29,6,2,23,2,33,
Kalmia angustifolia,CS_48,IR & GR,2019-07-29,9,19,55,0,83,
Picea maria,CS_48,IR & GR,2019-07-29,1,17,5,3,26,
Athyrium filix-femi,CS_48,IR & GR,2019-07-29,1,0,0,0,1,
Sorbus america,CS_48,IR & GR,2019-07-29,0,3,2,0,5,
Rubus idaeus,CS_48,IR & GR,2019-07-29,0,0,2,0,2,
Acer rubrum,CS_48,IR & GR,2019-07-29,0,1,3,0,4,
Cornus stolonifera,CS_48,IR & GR,2019-07-29,0,0,2,0,2,
Ribes Spp.,CS_48,IR & GR,2019-07-29,0,0,1,0,1,
Rhododendron groenlandicum,CS_48,IR & GR,2019-07-29,0,3,0,0,3,
Osmundastrum cinmomea,CS_48,IR & GR,2019-07-29,0,3,0,3,6,
Picea maria,CS_49,IR & GR,2019-07-22,0,1,0,0,1,
Alnus inca,CS_49,IR & GR,2019-07-22,0,0,0,15,15,
Kalmia Angustifolia,CS_50,IR & GR,2019-07-13,43,79,73,8,203,
Vaccinium angustifolium,CS_50,IR & GR,2019-07-13,8,0,0,0,8,
Picea glauca,CS_50,IR & GR,2019-07-13,1,0,3,0,4,
UK Fern 2 ,CS_50,IR & GR,2019-07-13,5,0,0,0,5,
Ammelanchier Spp.,CS_50,IR & GR,2019-07-13,0,5,4,0,9,
Acer rubrum,CS_50,IR & GR,2019-07-13,0,0,2,0,2,
Viburnum Spp.,CS_50,IR & GR,2019-07-13,0,2,0,0,2,
Alnus inca,CS_51,IR & GR,2019-07-16,11,13,4,20,48,
Picea maria,CS_51,IR & GR,2019-07-16,1,0,2,1,4,
Ribes Spp.,CS_51,IR & GR,2019-07-16,0,0,1,0,1,
Ammelanchier Spp.,CS_51,IR & GR,2019-07-16,0,0,1,0,1,
Viburnum edule,CS_51,IR & GR,2019-07-16,0,0,2,0,2,
Sorbus america,CS_51,IR & GR,2019-07-16,0,0,1,0,1,
Dryopteris intermedia,CS_51,IR & GR,2019-07-16,0,1,1,0,2,
Betula papyrifera,CS_51,IR & GR,2019-07-16,0,0,1,0,1,
Alnus inca,CS_52,IR & GR,2019-07-29,5,10,19,0,34,
Dryopteris carthusia,CS_52,IR & GR,2019-07-29,2,0,1,0,3,
Viburnum edule,CS_52,IR & GR,2019-07-29,1,0,0,0,1,
Athyrium filix-femi,CS_52,IR & GR,2019-07-29,16,3,2,0,21,
Dryopteris cristata,CS_52,IR & GR,2019-07-29,1,0,0,0,1,
Rubus idaeus,CS_52,IR & GR,2019-07-29,0,0,2,0,2,
Diervilla lonicera,CS_52,IR & GR,2019-07-29,0,1,0,0,1,
Viburnum spp.,CS_52,IR & GR,2019-07-29,0,1,0,0,1,
Kalmia angustifolia,CS_52,IR & GR,2019-07-29,0,0,0,3,3,
Ammelanchier Spp.,CS_53,IR & GR,2019-07-20,0,0,0,1,1,
Alnus inca,CS_53,IR & GR,2019-07-20,0,0,0,10,10,
Taxus cadensis,CS_53,IR & GR,2019-07-20,0,0,0,2,2,
Picea maria,CS_53,IR & GR,2019-07-20,0,0,0,1,1,
Kalmia angustifolia,CS_54,IR & GR,2019-07-28,0,11,2,6,19,
Alnus inca,CS_54,IR & GR,2019-07-28,8,0,1,0,9,
Athyrium filix-femi,CS_54,IR & GR,2019-07-28,0,0,5,0,5,
Picea maria,CS_54,IR & GR,2019-07-28,0,0,1,0,1,
,CS_55,YW & AM,2019-07-13,,,,,,
Kalmia angustifolia,CS_56,IR & GR,2019-07-26,50,0,2,0,52,
Vaccinium angustifolium,CS_56,IR & GR,2019-07-26,24,0,0,0,24,
Aralia nudicaulis,CS_56,IR & GR,2019-07-26,3,0,0,0,3,
Picea maria,CS_56,IR & GR,2019-07-26,1,0,0,0,1,
,CS_57,IR & GR,2019-07-19,,,,,,
Kalmia angustifolia,CS_58,IR & GR,2019-07-28,0,105,67,6,178,
Vaccinium angustifolium,CS_58,IR & GR,2019-07-28,1,6,90,4,101,
Picea maria,CS_58,IR & GR,2019-07-28,0,0,1,1,2,
Pteridium aquilinum,CS_58,IR & GR,2019-07-28,0,0,1,0,1,
Rhododendron groenlandicum,CS_59,IR & GR,2019-07-15,3,0,0,0,3,
Kalmia angustifolia,CS_59,IR & GR,2019-07-15,12,24,7,28,71,
Alnus inca,CS_59,IR & GR,2019-07-15,32,66,54,14,166,
Viburnum Spp.,CS_59,IR & GR,2019-07-15,1,0,0,1,2,
Dryopteris intermedia,CS_59,IR & GR,2019-07-15,11,0,1,0,12,
Cornus stolonifera,CS_59,IR & GR,2019-07-15,1,0,3,0,4,
Picea maria,CS_59,IR & GR,2019-07-15,0,0,3,0,3,
Kalmia angustifolia,CS_60,YW & AM,2019-07-14,5,5,5,5,20,ONLY COUNTED FIRST SHRUBS!
Vaccinium angustifolium,CS_60,YW & AM,2019-07-14,0,1,1,0,2,
Kalmia angustifolia,CS_61,IR & GR,2019-07-27,148,49,106,106,409,
Ammelanchier Spp.,CS_61,IR & GR,2019-07-27,0,1,2,0,3,
Vaccinium angustifolium,CS_61,IR & GR,2019-07-27,16,9,27,15,67,
Picea maria,CS_61,IR & GR,2019-07-27,1,2,1,1,5,
Picea glauca,CS_61,IR & GR,2019-07-27,2,1,0,0,3,
Viburnum Spp.,CS_61,IR & GR,2019-07-27,1,0,0,0,1,
Betula papyrifera,CS_61,IR & GR,2019-07-27,0,0,0,1,1,
Kalmia angustifolia,CS_62,IR & GR,2019-07-21,52,46,86,13,197,
UK Shrub 1,CS_62,IR & GR,2019-07-21,24,8,1,4,37,
Vaccinium angustifolium,CS_62,IR & GR,2019-07-21,7,35,25,4,71,
Amelanchier Spp.,CS_62,IR & GR,2019-07-21,3,3,1,2,9,
Alnus inca,CS_62,IR & GR,2019-07-21,3,0,0,0,3,
Picea maria,CS_62,IR & GR,2019-07-21,0,1,6,0,7,
Viburnum Spp.,CS_62,IR & GR,2019-07-21,0,2,4,0,6,
Rhododendron cadense,CS_62,IR & GR,2019-07-21,0,1,0,0,1,
Alnus inca,CS_63,IR & GR,2019-07-29,17,9,32,35,93,
Kalmia angustifolia,CS_63,IR & GR,2019-07-29,15,1,0,12,28,
Rubus idaeus,CS_63,IR & GR,2019-07-29,5,1,2,3,11,
Amelanchier Spp.,CS_63,IR & GR,2019-07-29,1,0,0,0,1,
Acer rubrum,CS_63,IR & GR,2019-07-29,0,0,1,0,1,
Picea maria,CS_63,IR & GR,2019-07-29,0,1,0,0,1,
Aralia nudicaulis,CS_63,IR & GR,2019-07-29,0,6,0,0,6,
Vaccinium angustifolium,CS_63,IR & GR,2019-07-29,0,0,0,4,4,
Kalmia angustifolia,CS_64,YW & AM,2019-07-13,0,0,3,0,3,
Kalmia angustifolia,CS_65,IR & GR,2019-07-24,5,2,0,6,13,
Sorbus america,CS_65,IR & GR,2019-07-24,0,0,1,0,1,
Vaccinium angustifolium,CS_65,IR & GR,2019-07-24,0,0,1,4,5,
Picea maria,CS_65,IR & GR,2019-07-24,0,1,1,0,2,
Kalmia angustifolia,CS_66,IR & GR,2019-07-27,136,117,79,139,471,
Vaccinium angustifolium,CS_66,IR & GR,2019-07-27,9,18,18,11,56,
Viburnum Spp.,CS_66,IR & GR,2019-07-27,1,0,0,0,1,
Picea glauca,CS_66,IR & GR,2019-07-27,1,0,0,0,1,
Picea maria,CS_66,IR & GR,2019-07-27,1,0,0,0,1,
Viburnum Spp.,CS_67,IR & GR,2019-07-17,5,0,5,0,10,
Vaccinium angustifolium,CS_67,IR & GR,2019-07-17,21,12,25,7,65,
Kalmia Angustifolia,CS_67,IR & GR,2019-07-17,23,55,57,15,150,
Ammelanchier Spp.,CS_67,IR & GR,2019-07-17,2,1,1,0,4,
Picea maria,CS_67,IR & GR,2019-07-17,1,1,1,1,4,
Picea glauca,CS_67,IR & GR,2019-07-17,0,0,1,0,1,
Rhododendron groenlandicum,CS_67,IR & GR,2019-07-17,0,0,1,0,1,
Sorbus america,CS_67,IR & GR,2019-07-17,0,1,0,0,1,
Aralia nudicaulis,CS_68,IR & GR,2019-07-25,14,17,17,6,54,
Dryopteris intermedia,CS_68,IR & GR,2019-07-25,1,0,0,0,1,
Acer rubrum,CS_68,IR & GR,2019-07-25,3,0,1,0,4,
Ribes Spp.,CS_68,IR & GR,2019-07-25,0,0,1,0,1,
Cornus stolonifera,CS_68,IR & GR,2019-07-25,0,0,1,0,1,
Vaccinium angustifolium,CS_68,IR & GR,2019-07-25,0,0,0,2,2,
Kalmia Angustifolia,CS_68,IR & GR,2019-07-25,0,0,0,1,1,
Vaccinium angustifolium,CS_69,IR & GR,2019-07-15,0,1,0,32,33,
Kalmia Angustifolia,CS_69,IR & GR,2019-07-15,0,3,0,54,57,
Amelanchier Spp.,CS_69,IR & GR,2019-07-15,0,0,0,3,3,
Kalmia Angustifolia,CS_70,IR & GR,2019-07-18,40,99,107,75,321,
Rhododendron groenlandicum,CS_70,IR & GR,2019-07-18,21,31,23,18,93,
