Species,Plot,Observers,Date,Intersection,Height(cm),BasalDiam(cm),Distance (m)
Rhodendron cadense,CS_02,YW & AM,2019-07-10,W1,45,0.45,2.4
Rhodendron cadense,CS_02,YW & AM,2019-07-10,W2,53,0.4,8.2
Rhodendron cadense,CS_02,YW & AM,2019-07-10,W3,40,0.2,9.4
Aralia nudicaulis,CS_03,YW & AM,2019-07-10,N1,90,1.36,0.2
Picea maria,CS_04,YW & AM,2019-07-11,N1,174,3,0.3
Picea maria,CS_04,YW & AM,2019-07-11,N2,103,1.1,1.4
Picea maria,CS_04,YW & AM,2019-07-11,N3,59,0.7,2.17
Kalmia angustifolia,CS_04,YW & AM,2019-07-11,N1,40,0.35,0.55
Kalmia angustifolia,CS_04,YW & AM,2019-07-11,N2,40,0.25,1.5
Kalmia angustifolia,CS_04,YW & AM,2019-07-11,N3,68,0.45,1.6
Kalmia angustifolia,CS_04,YW & AM,2019-07-11,N4,61,0.55,1.8
Kalmia angustifolia,CS_04,YW & AM,2019-07-11,N5,64,0.65,1.8
Sorbus america,CS_04,YW & AM,2019-07-11,N1,48,0.75,0.35
Amelanchier Spp.,CS_04,YW & AM,2019-07-11,N1,57,0.5,0.6
Amelanchier Spp.,CS_04,YW & AM,2019-07-11,N2,81,0.75,0.9
Amelanchier Spp.,CS_04,YW & AM,2019-07-11,N3,73,0.65,1.1
Amelanchier Spp.,CS_04,YW & AM,2019-07-11,N4,47,0.8,1.4
Alnus inca,CS_04,YW & AM,2019-07-11,N1,75,0.5,1.56
Alnus inca,CS_04,YW & AM,2019-07-11,N2,135,1,2.6
Alnus inca,CS_04,YW & AM,2019-07-11,N3,146,1.1,2.7
Alnus inca,CS_04,YW & AM,2019-07-11,N4,195,1.95,2.85
Alnus inca,CS_04,YW & AM,2019-07-11,N5,139,1,2.45
Pteridium aquilinum,CS_04,YW & AM,2019-07-11,N1,74,0.6,6.5
Pteridium aquilinum,CS_04,YW & AM,2019-07-11,N2,47,0.5,6.6
Kalmia angustifolia,CS_04,YW & AM,2019-07-11,S1,43,0.4,0.5
Kalmia angustifolia,CS_04,YW & AM,2019-07-11,S2,78,0.6,0.5
Kalmia angustifolia,CS_04,YW & AM,2019-07-11,S3,54,0.35,1
Kalmia angustifolia,CS_04,YW & AM,2019-07-11,S4,121,0.8,2
Kalmia angustifolia,CS_04,YW & AM,2019-07-11,S5,56,0.4,3.1
Sorbus america,CS_04,YW & AM,2019-07-11,S1,57,0.6,0.05
Alnus inca,CS_04,YW & AM,2019-07-11,S1,130,1.6,1.5
Alnus inca,CS_04,YW & AM,2019-07-11,S2,121,0.95,2.85
Alnus inca,CS_04,YW & AM,2019-07-11,S3,130,1.6,1.5
Alnus inca,CS_04,YW & AM,2019-07-11,S4,1.21,0.95,2.85
Alnus inca,CS_04,YW & AM,2019-07-11,S5,1.92,1.7,3
Viburnum nudum,CS_04,YW & AM,2019-07-11,S1,47,0.35,3.6
Rhodendron cadense,CS_04,YW & AM,2019-07-11,S1,46,0.6,7.7
Pteridium aquilinum,CS_04,YW & AM,2019-07-11,S1,102,0.5,1.5
Pteridium aquilinum,CS_04,YW & AM,2019-07-11,S2,67,0.3,6
Osmundastrum cinmomea,CS_04,YW & AM,2019-07-11,S1,54,0.3,3.6
Osmundastrum cinmomea,CS_04,YW & AM,2019-07-11,S2,74,0.35,7.2
Osmundastrum cinmomea,CS_04,YW & AM,2019-07-11,S3,73,0.3,7.5
Kalmia angustifolia,CS_04,YW & AM,2019-07-11,E1,58,0.5,0.73
Kalmia angustifolia,CS_04,YW & AM,2019-07-11,E2,58,0.3,1.04
Kalmia angustifolia,CS_04,YW & AM,2019-07-11,E3,64,0.5,1.4
Kalmia angustifolia,CS_04,YW & AM,2019-07-11,E4,62,0.5,1.36
Kalmia angustifolia,CS_04,YW & AM,2019-07-11,E5,47,0.45,1.5
Sorbus america,CS_04,YW & AM,2019-07-11,E1,45,0.3,2.8
Sorbus america,CS_04,YW & AM,2019-07-11,E2,42,0.3,2.8
Sorbus america,CS_04,YW & AM,2019-07-11,E3,60,0.3,2.8
Amelanchier Spp.,CS_04,YW & AM,2019-07-11,E1,67,1.15,0.6
Amelanchier Spp.,CS_04,YW & AM,2019-07-11,E2,51,0.5,9.4
Amelanchier Spp.,CS_04,YW & AM,2019-07-11,E3,0.65,0.6,9.95
Alnus inca,CS_04,YW & AM,2019-07-11,E1,103,0.6,7.1
Pteridium aquilinum,CS_04,YW & AM,2019-07-11,E1,85,0.5,4.9
Pteridium aquilinum,CS_04,YW & AM,2019-07-11,E2,70,0.6,4.4
Pteridium aquilinum,CS_04,YW & AM,2019-07-11,E3,92,0.4,4.8
Pteridium aquilinum,CS_04,YW & AM,2019-07-11,E4,42,0.2,9.9
Pteridium aquilinum,CS_04,YW & AM,2019-07-11,E5,86,0.5,2
Picea maria,CS_04,YW & AM,2019-07-11,E1,85,2.35,4.2
Kalmia angustifolia,CS_04,YW & AM,2019-07-11,W1,77,0.5,3
Kalmia angustifolia,CS_04,YW & AM,2019-07-11,W2,78,0.55,2.9
Kalmia angustifolia,CS_04,YW & AM,2019-07-11,W3,51,0.2,2.9
Kalmia angustifolia,CS_04,YW & AM,2019-07-11,W4,85,0.5,3.5
Kalmia angustifolia,CS_04,YW & AM,2019-07-11,W5,80,0.6,3.65
Picea maria,CS_04,YW & AM,2019-07-11,W1,139,3.3,1.35
Picea maria,CS_04,YW & AM,2019-07-11,W2,123,2.6,8.75
Alnus inca,CS_04,YW & AM,2019-07-11,W1,150,1.4,1.8
Alnus inca,CS_04,YW & AM,2019-07-11,W2,177,1.3,1.8
Alnus inca,CS_04,YW & AM,2019-07-11,W3,138,1.4,1.9
Alnus inca,CS_04,YW & AM,2019-07-11,W4,173,1.6,2
Alnus inca,CS_04,YW & AM,2019-07-11,W5,220,1.6,1.72
Viburnum nudum,CS_04,YW & AM,2019-07-11,W1,75,0.3,0.9
Pteridium aquilinum,CS_04,YW & AM,2019-07-11,W1,105,0.35,3.25
Pteridium aquilinum,CS_04,YW & AM,2019-07-11,W2,92,0.4,3.4
Pteridium aquilinum,CS_04,YW & AM,2019-07-11,W3,88,0.4,4.45
Pteridium aquilinum,CS_04,YW & AM,2019-07-11,W4,1.1,0.5,4.45
Pteridium aquilinum,CS_04,YW & AM,2019-07-11,W5,67,0.5,4.7
Osmundastrum cinmomea,CS_04,YW & AM,2019-07-11,W1,50,0.25,2.6
Osmundastrum cinmomea,CS_04,YW & AM,2019-07-11,W2,82,0.35,4.2
Osmundastrum cinmomea,CS_04,YW & AM,2019-07-11,W3,72,0.4,4.7
Kalmia angustifolia,CS_05,YW & AM,2019-07-11,S1,41,0.18,1.93
Kalmia angustifolia,CS_05,YW & AM,2019-07-11,S2,52,0.4,2.1
Sorbus america,CS_05,YW & AM,2019-07-11,S1,34,0.25,2.16
Sorbus america,CS_05,YW & AM,2019-07-11,S2,34,0.35,2.3
Picea maria,CS_05,YW & AM,2019-07-11,S1,179,3.75,5.16
Kalmia angustifolia,CS_06,IR & GR,2019-07-09,N1,114,1,
Kalmia angustifolia,CS_06,IR & GR,2019-07-09,N2,50,0.3,
Kalmia angustifolia,CS_06,IR & GR,2019-07-09,E1,102,0.9,
Kalmia angustifolia,CS_06,IR & GR,2019-07-09,E2,43,0.5,
Kalmia angustifolia,CS_06,IR & GR,2019-07-09,E3,119,0.8,
Kalmia angustifolia,CS_06,IR & GR,2019-07-09,E4,89,0.5,
Kalmia angustifolia,CS_06,IR & GR,2019-07-09,E5,123,1,
Vaccinium angustifolium ,CS_06,IR & GR,2019-07-09,E1,46,0.4,
Vaccinium angustifolium ,CS_06,IR & GR,2019-07-09,E2,51,0.3,
Vaccinium angustifolium ,CS_06,IR & GR,2019-07-09,E3,44,0.2,
Vaccinium angustifolium ,CS_06,IR & GR,2019-07-09,E4,44,0.4,
Vaccinium angustifolium ,CS_06,IR & GR,2019-07-09,E5,50,0.4,
Sorbus america,CS_06,IR & GR,2019-07-09,E1,119,0.5,
Sorbus america,CS_06,IR & GR,2019-07-09,E2,46,0.3,
Picea maria,CS_06,IR & GR,2019-07-09,E1,146,1,
Betula papyrifera,CS_06,IR & GR,2019-07-09,E1,82,0.6,
Betula papyrifera,CS_06,IR & GR,2019-07-09,E2,94,0.5,
Kalmia angustifolia,CS_06,IR & GR,2019-07-09,S1,58,0.5,
Picea maria,CS_06,IR & GR,2019-07-09,S1,124,5,
Amelanchier Spp.,CS_06,IR & GR,2019-07-09,S1,41,0.2,
Aralia nudicaulis,CS_06,IR & GR,2019-07-09,S1,50,0.5,
Kalmia angustifolia,CS_06,IR & GR,2019-07-09,S1,75,0.4,
Alnus inca,CS_06,IR & GR,2019-07-09,S1,91,0.6,
Kalmia angustifolia,CS_07,IR & GR,2019-07-10,N1,59,2,0.12
Kalmia angustifolia,CS_07,IR & GR,2019-07-10,N2,52,0.2,0.5
Kalmia angustifolia,CS_07,IR & GR,2019-07-10,N3,60,0.3,1.1
Kalmia angustifolia,CS_07,IR & GR,2019-07-10,N4,46,0.2,1.56
Kalmia angustifolia,CS_07,IR & GR,2019-07-10,N5,72,0.3,1.38
Picea maria,CS_07,IR & GR,2019-07-10,N1,52,0.3,1.45
Picea maria,CS_07,IR & GR,2019-07-10,N2,43.5,0.5,1.49
Picea maria,CS_07,IR & GR,2019-07-10,N3,57,0.7,1.6
Vaccinium angustifolium ,CS_07,IR & GR,2019-07-10,N1,55,0.3,1.74
Vaccinium angustifolium ,CS_07,IR & GR,2019-07-10,N2,44,0.2,1.85
Vaccinium angustifolium ,CS_07,IR & GR,2019-07-10,N3,48,0.3,1.92
Vaccinium angustifolium ,CS_07,IR & GR,2019-07-10,N4,42,0.2,5
Vaccinium angustifolium ,CS_07,IR & GR,2019-07-10,N5,42,0.3,6.6
Kalmia angustifolia,CS_07,IR & GR,2019-07-10,E1,41,0.2,3.65
Kalmia angustifolia,CS_07,IR & GR,2019-07-10,E2,41.5,0.2,3.95
Kalmia angustifolia,CS_07,IR & GR,2019-07-10,E3,46,0.3,5.02
Kalmia angustifolia,CS_07,IR & GR,2019-07-10,E4,63,0.3,5.15
Kalmia angustifolia,CS_07,IR & GR,2019-07-10,E5,86,0.4,7.1
Vaccinium angustifolium ,CS_07,IR & GR,2019-07-10,E1,44,0.3,4.7
Vaccinium angustifolium ,CS_07,IR & GR,2019-07-10,E2,44,0.3,5.35
Vaccinium angustifolium ,CS_07,IR & GR,2019-07-10,E3,40,0.2,6.1
Vaccinium angustifolium ,CS_07,IR & GR,2019-07-10,E4,40,0.3,6.7
Vaccinium angustifolium ,CS_07,IR & GR,2019-07-10,E5,54,0.3,6.65
UK 1,CS_07,IR & GR,2019-07-10,E1,45,0.4,6.95
Kalmia angustifolia,CS_07,IR & GR,2019-07-10,S1,47.5,0.3,0.83
Kalmia angustifolia,CS_07,IR & GR,2019-07-10,S2,50,0.4,0.79
Kalmia angustifolia,CS_07,IR & GR,2019-07-10,S3,62,0.4,0.65
Kalmia angustifolia,CS_07,IR & GR,2019-07-10,S4,69.5,0.5,1.04
Kalmia angustifolia,CS_07,IR & GR,2019-07-10,S5,41.5,0.6,1.05
Picea maria,CS_07,IR & GR,2019-07-10,S1,92,1.5,7.5
Picea maria,CS_07,IR & GR,2019-07-10,S2,114,2,9
Vaccinium angustifolium ,CS_07,IR & GR,2019-07-10,S1,63,0.3,5.2
Vaccinium angustifolium ,CS_07,IR & GR,2019-07-10,S2,50,0.3,5.53
Vaccinium angustifolium ,CS_07,IR & GR,2019-07-10,S3,42,0.2,5.7
Vaccinium angustifolium ,CS_07,IR & GR,2019-07-10,S4,41.5,0.2,6.1
Vaccinium angustifolium ,CS_07,IR & GR,2019-07-10,S5,60,0.5,6.7
UK 1,CS_07,IR & GR,2019-07-10,S1,60,1,4.65
UK 1,CS_07,IR & GR,2019-07-10,S2,72,0.5,5.5
UK 1,CS_07,IR & GR,2019-07-10,S3,51,0.9,5.59
UK 1,CS_07,IR & GR,2019-07-10,S4,49.5,0.6,6.1
UK 1,CS_07,IR & GR,2019-07-10,S5,49.5,0.8,6.9
Amelanchier Spp.,CS_07,IR & GR,2019-07-10,S1,40,1,7.15
Amelanchier Spp.,CS_07,IR & GR,2019-07-10,S2,66.5,0.7,7.38
Sorbus america,CS_07,IR & GR,2019-07-10,S1,43,0.6,9
Kalmia angustifolia,CS_07,IR & GR,2019-07-10,W1,79,0.3,0.64
Kalmia angustifolia,CS_07,IR & GR,2019-07-10,W2,49.5,0.2,0.7
Kalmia angustifolia,CS_07,IR & GR,2019-07-10,W3,53.5,0.3,0.84
Kalmia angustifolia,CS_07,IR & GR,2019-07-10,W4,42,0.2,0.61
Kalmia angustifolia,CS_07,IR & GR,2019-07-10,W5,103.5,0.6,1
vaccinium angustifolium ,CS_07,IR & GR,2019-07-10,W1,56,0.5,0.57
vaccinium angustifolium ,CS_07,IR & GR,2019-07-10,W2,51.5,0.3,0.5
UK 1,CS_07,IR & GR,2019-07-10,W1,97,0.6,1.75
UK 1,CS_07,IR & GR,2019-07-10,W2,47,0.5,1.8
UK 1,CS_07,IR & GR,2019-07-10,W3,43,0.4,2
Kalmia angustifolia,CS_08,IR & GR,2019-07-11,N1,125,0.5,1.75
Kalmia angustifolia,CS_08,IR & GR,2019-07-11,N2,56,0.2,1.62
Kalmia angustifolia,CS_08,IR & GR,2019-07-11,N3,90,0.4,1.78
Kalmia angustifolia,CS_08,IR & GR,2019-07-11,N4,41,0.2,1.93
Kalmia angustifolia,CS_08,IR & GR,2019-07-11,N5,45,0.2,1.85
Picea maria,CS_08,IR & GR,2019-07-11,N1,122,1.1,2.9
Betula papyrifera,CS_08,IR & GR,2019-07-11,N1,63,0.3,1.3
Kalmia angustifolia,CS_08,IR & GR,2019-07-11,S1,57,0.6,1.2
Kalmia angustifolia,CS_08,IR & GR,2019-07-11,S2,55,0.2,0.95
Kalmia angustifolia,CS_08,IR & GR,2019-07-11,S3,77,0.3,1.5
Kalmia angustifolia,CS_08,IR & GR,2019-07-11,S4,63.5,0.3,1.57
Kalmia angustifolia,CS_08,IR & GR,2019-07-11,S5,50.5,0.4,1.63
Vaccinium angustifolium ,CS_08,IR & GR,2019-07-11,S1,52,0.3,1.17
Vaccinium angustifolium ,CS_08,IR & GR,2019-07-11,S2,40,0.2,1.5
Vaccinium angustifolium ,CS_08,IR & GR,2019-07-11,S3,57,0.2,1.64
Vaccinium angustifolium ,CS_08,IR & GR,2019-07-11,S4,75,0.8,4.8
Vaccinium angustifolium ,CS_08,IR & GR,2019-07-11,S5,51,0.3,4.74
Picea maria,CS_08,IR & GR,2019-07-11,S1,175,2,1.19
Picea maria,CS_08,IR & GR,2019-07-11,S2,69,1.3,8.3
Kalmia angustifolia,CS_08,IR & GR,2019-07-11,E1,55.5,0.4,3.78
Kalmia angustifolia,CS_08,IR & GR,2019-07-11,E2,73,0.5,3.93
Kalmia angustifolia,CS_08,IR & GR,2019-07-11,E3,99,0.5,3.58
Kalmia angustifolia,CS_08,IR & GR,2019-07-11,E4,67,0.5,4.09
Kalmia angustifolia,CS_08,IR & GR,2019-07-11,E5,54.5,0.4,4.3
Vaccinium angustifolium ,CS_08,IR & GR,2019-07-11,E1,57,0.3,8.9
Kalmia angustifolia,CS_08,IR & GR,2019-07-11,W1,48,0.3,1.52
Kalmia angustifolia,CS_08,IR & GR,2019-07-11,W2,45,0.2,1.69
Kalmia angustifolia,CS_08,IR & GR,2019-07-11,W3,98.5,0.7,1.71
Kalmia angustifolia,CS_08,IR & GR,2019-07-11,W4,83,0.5,1.97
Kalmia angustifolia,CS_08,IR & GR,2019-07-11,W5,87,0.44,2.04
Vaccinium angustifolium ,CS_08,IR & GR,2019-07-11,W1,62,0.4,1.75
Vaccinium angustifolium ,CS_08,IR & GR,2019-07-11,W2,52,0.3,2
Vaccinium angustifolium ,CS_08,IR & GR,2019-07-11,W3,42,0.3,2.95
Vaccinium angustifolium ,CS_08,IR & GR,2019-07-11,W4,47.5,0.3,3.7
Picea maria,CS_08,IR & GR,2019-07-11,W1,85,2,1.72
Alnus inca,CS_09,IR & GR,2019-07-11,N1,170,1.6,1.38
Alnus inca,CS_09,IR & GR,2019-07-11,N2,126.5,0.9,1.57
Alnus inca,CS_09,IR & GR,2019-07-11,N3,159,1.5,1.57
Alnus inca,CS_09,IR & GR,2019-07-11,N4,146,1.8,1.96
Alnus inca,CS_09,IR & GR,2019-07-11,N5,112,1,3
Onoclea sensibilis,CS_09,IR & GR,2019-07-11,N1,43,0.1,7.19
Onoclea sensibilis,CS_09,IR & GR,2019-07-11,N2,52,0.1,6.58
Onoclea sensibilis,CS_09,IR & GR,2019-07-11,N3,41,0.1,1.27
Onoclea sensibilis,CS_09,IR & GR,2019-07-11,N4,52,0.1,7.19
Onoclea sensibilis,CS_09,IR & GR,2019-07-11,N5,40.5,0.5,7.21
Dryopteris cristata ,CS_09,IR & GR,2019-07-11,N1,55,0.4,7.39
Dryopteris cristata ,CS_09,IR & GR,2019-07-11,N2,68,0.2,7.86
Cornus stolonifera,CS_09,IR & GR,2019-07-11,N1,53,0.5,1.53
Cornus stolonifera,CS_09,IR & GR,2019-07-11,N2,48,0.6,1.65
Sorbus america,CS_09,IR & GR,2019-07-11,N1,54,0.9,9.95
Acer rubrum,CS_09,IR & GR,2019-07-11,N1,40,0.4,7.59
Alnus inca,CS_09,IR & GR,2019-07-11,S1,119,1,0
Alnus inca,CS_09,IR & GR,2019-07-11,S2,110,0.8,0.05
Alnus inca,CS_09,IR & GR,2019-07-11,S3,119,1.4,0.45
Alnus inca,CS_09,IR & GR,2019-07-11,S4,121,1,0.51
Alnus inca,CS_09,IR & GR,2019-07-11,S5,55,1.2,0.81
Rosa nitida,CS_09,IR & GR,2019-07-11,S1,61,0.3,0.18
Rosa nitida,CS_09,IR & GR,2019-07-11,S2,43,0.4,0.21
Rosa nitida,CS_09,IR & GR,2019-07-11,S3,40,0.4,0.52
Rosa nitida,CS_09,IR & GR,2019-07-11,S4,40.5,0.2,1.21
Rosa nitida,CS_09,IR & GR,2019-07-11,S5,42,0.4,2.24
Picea maria,CS_09,IR & GR,2019-07-11,S1,96,2.4,4.15
Picea maria,CS_09,IR & GR,2019-07-11,S2,64,1.1,4.45
Picea maria,CS_09,IR & GR,2019-07-11,S3,169,5,5.15
Picea maria,CS_09,IR & GR,2019-07-11,S4,121,3,5.48
Dryopteris cristata ,CS_09,IR & GR,2019-07-11,S1,40,0.1,3.3
Dryopteris cristata ,CS_09,IR & GR,2019-07-11,S2,46,0.2,3.34
Amelanchier Spp.,CS_09,IR & GR,2019-07-11,S1,49,0.9,3.8
Amelanchier Spp.,CS_09,IR & GR,2019-07-11,S2,44,0.4,4.04
Kalmia angustifolia,CS_09,IR & GR,2019-07-11,S1,53,0.3,8.07
Kalmia angustifolia,CS_09,IR & GR,2019-07-11,S2,46,0.4,8.32
Osmundastrum cinmomea,CS_09,IR & GR,2019-07-11,S1,65,0.4,7.36
Onoclea sensibilis,CS_09,IR & GR,2019-07-11,S1,40,0.1,3.27
Alnus inca,CS_09,IR & GR,2019-07-11,E1,116,0.6,1.05
Alnus inca,CS_09,IR & GR,2019-07-11,E2,148,2.2,1.24
Alnus inca,CS_09,IR & GR,2019-07-11,E3,41,0.04,1.34
Alnus inca,CS_09,IR & GR,2019-07-11,E4,133,1,1.25
Alnus inca,CS_09,IR & GR,2019-07-11,E5,58.5,0.5,1.37
UK shrub 2,CS_09,IR & GR,2019-07-11,E1,52.5,0.5,8.87
UK shrub 2,CS_09,IR & GR,2019-07-11,E2,60,0.4,9
UK shrub 2,CS_09,IR & GR,2019-07-11,E3,51,0.5,9.21
UK shrub 2,CS_09,IR & GR,2019-07-11,E4,53,0.4,9.41
Cornus stolonifera,CS_09,IR & GR,2019-07-11,E1,49,0.2,2.15
Cornus stolonifera,CS_09,IR & GR,2019-07-11,E2,50,0.4,2.43
Cornus stolonifera,CS_09,IR & GR,2019-07-11,E3,75,0.6,4.45
Osmundastrum cinmomea,CS_09,IR & GR,2019-07-11,E1,68,0.3,0.9
Rosa nitida,CS_09,IR & GR,2019-07-11,E1,40,0.4,1.63
Dryopteris cristata ,CS_09,IR & GR,2019-07-11,E1,48.5,0.2,1.98
Alnus inca,CS_09,IR & GR,2019-07-11,W1,40,0.4,1.4
Alnus inca,CS_09,IR & GR,2019-07-11,W2,42.5,0.5,1.41
Alnus inca,CS_09,IR & GR,2019-07-11,W3,78,0.8,1.6
Alnus inca,CS_09,IR & GR,2019-07-11,W4,55.5,0.7,2.06
Alnus inca,CS_09,IR & GR,2019-07-11,W5,114,0.8,2.75
Osmundastrum cinmomea,CS_09,IR & GR,2019-07-11,W1,41,0.4,1.61
Osmundastrum cinmomea,CS_09,IR & GR,2019-07-11,W2,59.5,0.4,2.05
Osmundastrum cinmomea,CS_09,IR & GR,2019-07-11,W3,85.5,0.5,2.3
Osmundastrum cinmomea,CS_09,IR & GR,2019-07-11,W4,71,0.5,3.19
Osmundastrum cinmomea,CS_09,IR & GR,2019-07-11,W5,79,0.4,3.2
Rhodendron groenlandicum,CS_09,IR & GR,2019-07-11,W1,45.5,0.5,1.45
Rhodendron groenlandicum,CS_09,IR & GR,2019-07-11,W2,60,0.3,4.4
Rhodendron groenlandicum,CS_09,IR & GR,2019-07-11,W3,133,0.5,4.31
Rhodendron groenlandicum,CS_09,IR & GR,2019-07-11,W4,80,0.7,4.64
Rhodendron groenlandicum,CS_09,IR & GR,2019-07-11,W5,52,0.3,5.06
Kalmia angustifolia,CS_09,IR & GR,2019-07-11,W1,78,0.5,4
Kalmia angustifolia,CS_09,IR & GR,2019-07-11,W2,108.5,0.9,3.75
Kalmia angustifolia,CS_09,IR & GR,2019-07-11,W3,88,0.5,5.15
Kalmia angustifolia,CS_09,IR & GR,2019-07-11,W4,47.5,0.2,4.01
Kalmia angustifolia,CS_09,IR & GR,2019-07-11,W5,54,0.2,5.43
Amelanchier Spp.,CS_09,IR & GR,2019-07-11,W1,44,0.4,4.1
Amelanchier Spp.,CS_09,IR & GR,2019-07-11,W2,60,0.5,5
Amelanchier Spp.,CS_09,IR & GR,2019-07-11,W3,55,0.5,5.31
Amelanchier Spp.,CS_09,IR & GR,2019-07-11,W4,68.5,0.5,5.6
Amelanchier Spp.,CS_09,IR & GR,2019-07-11,W5,46,0.4,5.9
Picea maria,CS_09,IR & GR,2019-07-11,W1,92,1.52,4.1
Picea maria,CS_09,IR & GR,2019-07-11,W2,102,2,6.7
Picea maria,CS_09,IR & GR,2019-07-11,W3,60.5,0.6,6.9
Picea maria,CS_09,IR & GR,2019-07-11,W4,67,1,7.1
Picea maria,CS_09,IR & GR,2019-07-11,W5,90,1.5,9.7
Dryopteris cristata ,CS_09,IR & GR,2019-07-11,W1,47,0.1,5.66
Dryopteris cristata ,CS_09,IR & GR,2019-07-11,W2,49,0.1,6.15
Dryopteris cristata ,CS_09,IR & GR,2019-07-11,W3,58,0.2,6.65
Dryopteris cristata ,CS_09,IR & GR,2019-07-11,W4,48,0.2,6.7
UK shrub 2,CS_09,IR & GR,2019-07-11,W1,65,0.4,4.08
UK shrub 2,CS_09,IR & GR,2019-07-11,W2,78.5,0.4,5.7
UK shrub 2,CS_09,IR & GR,2019-07-11,W3,61.5,0.5,6
UK shrub 2,CS_09,IR & GR,2019-07-11,W4,50,0.2,8.27
Cornus stolonifera,CS_09,IR & GR,2019-07-11,W1,48,0.4,6.2
Cornus stolonifera,CS_09,IR & GR,2019-07-11,W2,54,0.3,6.2
