Plot,Date,Observers,ShrubCountTotal,CanopyIntOver,CanopyIntUnder,CanopyIntTotal,FallenLogsTotal,HorizComplex,CanClos,LeafLittDepth,AvgShrubHeight,AvgShrubDiam,StumpCount,DeadCount,AvgOverDist,AvgOverDBH,AvgUnderDist,AvgUnderDBH,AvgFallenDist
CS_44,2019-07-23,IR & GR,65,18,8,26,1,2.5,101.4,3.5,82.13043478,0.843478261,20,2,2.1525,12.25,1.5075,3.275,2.7625
CS_45,2019-07-19,IR & GR,88,8,12,20,2,3.5,100.36,3.5,64.43243243,0.597297297,34,4,6.05,14.125,1.2275,2.675,4.02
CS_46,2019-07-25,IR & GR,38,16,2,18,3,1,102.96,3.5,46.45,0.28,11,1,5.29,10.45,4.056666667,4.97,2.3425
CS_47,2019-07-14,IR & GR,72,11,8,19,0,5,98.8,2.75,69.70930233,0.56744186,12,11,6.2925,22.1625,2.0125,2.425,3.865
CS_48,2019-07-29,IR & GR,166,9,12,21,1,5,98.8,1.5,76.45522388,0.682089552,32,3,1.11,10.675,0.755,3.375,2.1825
CS_49,2019-07-22,IR & GR,16,23,8,31,3,5,98.8,4.75,110.8333333,1.333333333,12,4,2.225,11.9825,2.455,4.025,3.6625
CS_50,2019-07-13,IR & GR,233,18,0,18,0,5,98.8,1.5,68.41836735,0.528571429,11,2,2.53,12.5375,6.6675,3.0625,7.813333333
CS_51,2019-07-16,IR & GR,60,19,0,19,0,3,100.88,4.5,80.08064516,0.677419355,29,5,2.5825,12.225,1.44,2.175,6.53
CS_52,2019-07-29,IR & GR,67,10,15,25,3,1,102.96,2.5,54.13888889,0.386111111,15,8,3.76,16.53333333,0.8375,2.675,3.1475
CS_53,2019-07-20,IR & GR,14,18,10,28,0,4.5,99.32,1.5,45.83333333,0.344444444,17,1,0.9575,8.4,1.6675,2.95,2.106666667
CS_54,2019-07-20,IR & GR,34,12,10,22,3,5,98.8,1.5,63.72916667,0.470833333,14,14,3.295,17.5,1.5,3.7,2.44
CS_55,2019-07-13,YW & AM,0,18,2,20,0,1,102.96,1.575,0,0,2,1,2.21,10.1975,6.8825,3.6625,5.38
CS_56,2019-07-26,IR & GR,80,26,4,30,1,2.5,101.4,2.5,66.41666667,0.4625,21,0,1.19,12.175,3.53,2.95,1.3425
CS_57,2019-07-19,IR & GR,0,20,4,24,0,3.5,100.36,1.5,0,0,27,1,2.3475,12.65,2.37,2.15,5.303333333
CS_58,2019-07-28,IR & GR,282,8,7,15,1,5,98.8,2.75,57.53030303,0.436363636,27,0,2.0575,9.35,2.1725,3.55,4.6275
CS_59,2019-07-15,IR & GR,261,10,6,16,1,5,98.8,73,83.19827586,0.739655172,6,2,5.465,13.675,0.9975,1.375,1.93
CS_60,2019-07-14,YW & AM,,4,2,6,0,3,100.88,2.8,67.72727273,0.343181818,6,1,4.8925,10.1,3.73,4.95,7.91
CS_61,2019-07-27,IR & GR,489,8,1,9,3,3.5,100.36,3.5,66.98113208,0.720754717,21,1,2.68,9.125,1.55,3.25,1.63
CS_62,2019-07-21,IR & GR,331,4,4,8,2,5,98.8,1.75,67.46153846,0.635384615,23,0,3.506666667,9.333333333,2.386666667,3.066666667,3.5575
CS_63,2019-07-29,IR & GR,145,7,5,12,1,5,98.8,3,79.30909091,0.650909091,16,0,3.27,11.125,1.66,2.5,0.93
CS_64,2019-07-13,YW & AM,3,15,6,21,15,1.5,102.44,1.425,47.66666667,2.5,15,1,3.5725,14.0125,3.7375,5.8,1.295
CS_65,2019-07-24,IR & GR,21,21,1,22,0,5,98.8,0.75,54.55,0.4695,17,0,1.69,9.15,3.9525,2.94,5.0425
CS_66,2019-07-27,IR & GR,530,11,3,14,1,5,98.8,3.5,59.22727273,0.479545455,8,1,2.945,15.625,2.095,3.3,7.125
CS_67,2019-07-17,IR & GR,236,8,5,13,3,3,100.88,0.75,60.10655738,0.513114754,16,9,3.2375,11.725,4.0875,2.8,4.305
CS_68,2019-07-17,IR & GR,64,21,1,22,5,1.5,102.44,0.75,45.46774194,0.316129032,6,4,2.7675,17.9,2.306666667,3.766666667,3.5025
CS_69,2019-07-15,IR & GR,93,13,4,17,3,5,98.8,4,69.82352941,0.364705882,20,2,1.4725,11.825,1.7025,1.3925,6.0525
CS_70,2019-07-18,IR & GR,462,3,6,9,1,5,98.8,9,74.8968254,0.571428571,5,8,2.7875,16.475,2.94,2.3,1.655
CS_71,2019-07-18,IR & GR,157,6,1,10,0,1,102.96,8.5,87.75362319,0.884057971,0,1,7.73,6.54,0.3825,2.05,7.095
CS_72,2019-07-14,YW & AM,,5,0,5,40,5,98.8,3.425,78.08695652,0.966956522,21,4,3.415,12.7375,3.31,1,0.2125
