Species_GroundCover,Plot,Observers,Date,Level,Intersections
Betula papyrifera,CS_26,IR & GR,2019-07-25,Canopy O,1
Sky ,CS_26,IR & GR,2019-07-25,NA,3
Plants,CS_26,IR & GR,2019-07-25,Ground,4
Moss,CS_26,IR & GR,2019-07-25,Ground,11
Leaf litter,CS_26,IR & GR,2019-07-25,Ground,2
Needle Duff,CS_26,IR & GR,2019-07-25,Ground,2
Deciduous duff,CS_26,IR & GR,2019-07-25,Ground,1
Picea mariana,CS_27,IR & GR,2019-07-21,Canopy O,9
Picea mariana,CS_27,IR & GR,2019-07-21,Canopy U,1
Picea glauca,CS_27,IR & GR,2019-07-21,Canopy O,1
Picea glauca,CS_27,IR & GR,2019-07-21,Canopy U,3
Larix laricina,CS_27,IR & GR,2019-07-21,Canopy O,3
Sky ,CS_27,IR & GR,2019-07-21,NA,4
Plants,CS_27,IR & GR,2019-07-21,Ground,11
Moss,CS_27,IR & GR,2019-07-21,Ground,8
Leaf litter,CS_27,IR & GR,2019-07-21,Ground,1
Picea mariana,CS_28,IR & GR,2019-07-28,Canopy O,2
Picea mariana,CS_28,IR & GR,2019-07-28,Canopy U,3
Alnus incana,CS_28,IR & GR,2019-07-28,Canopy U,3
Sky ,CS_28,IR & GR,2019-07-28,NA,14
Plants,CS_28,IR & GR,2019-07-28,Ground,12
Moss,CS_28,IR & GR,2019-07-28,Ground,4
Needle Duff,CS_28,IR & GR,2019-07-28,Ground,1
Deciduous duff,CS_28,IR & GR,2019-07-28,Ground,3
Picea glauca,CS_29,YW & AM,2019-07-13,Canopy O,10
Picea glauca,CS_29,YW & AM,2019-07-13,Canopy U,6
Betula papyrifera,CS_29,YW & AM,2019-07-13,Canopy O,5
Alnus incana,CS_29,YW & AM,2019-07-13,Canopy U,4
Plants,CS_29,YW & AM,2019-07-13,Ground,4
Moss,CS_29,YW & AM,2019-07-13,Ground,1
Leaf litter,CS_29,YW & AM,2019-07-13,Ground,1
Needle Duff,CS_29,YW & AM,2019-07-13,Ground,7
Deciduous duff,CS_29,YW & AM,2019-07-13,Ground,16
Picea glauca,CS_30,IR & GR,2019-07-30,Canopy O,13
Betula papyrifera,CS_30,IR & GR,2019-07-30,Canopy O,2
Larix laricina,CS_30,IR & GR,2019-07-30,Canopy O,1
Picea mariana,CS_30,IR & GR,2019-07-30,Canopy O,8
Picea mariana,CS_30,IR & GR,2019-07-30,Canopy U,4
Alnus incana,CS_30,IR & GR,2019-07-30,Canopy O,1
Alnus incana,CS_30,IR & GR,2019-07-30,Canopy U,5
Sky ,CS_30,IR & GR,2019-07-30,NA,1
Plants,CS_30,IR & GR,2019-07-30,Ground,3
Moss,CS_30,IR & GR,2019-07-30,Ground,8
Leaf litter,CS_30,IR & GR,2019-07-30,Ground,3
Decayed wood,CS_30,IR & GR,2019-07-30,Ground,1
Needle Duff,CS_30,IR & GR,2019-07-30,Ground,1
Deciduous duff,CS_30,IR & GR,2019-07-30,Ground,3
Picea mariana,CS_31,IR & GR,2019-07-20,Canopy O,13
Picea mariana,CS_31,IR & GR,2019-07-20,Canopy U,4
Betula papyrifera,CS_31,IR & GR,2019-07-20,Canopy O,16
Betula papyrifera,CS_31,IR & GR,2019-07-20,Canopy U,1
Plants,CS_31,IR & GR,2019-07-20,Ground,2
Moss,CS_31,IR & GR,2019-07-20,Ground,2
Leaf litter,CS_31,IR & GR,2019-07-20,Ground,1
Decayed wood,CS_31,IR & GR,2019-07-20,Ground,3
Mineral soil,CS_31,IR & GR,2019-07-20,Ground,2
Needle Duff,CS_31,IR & GR,2019-07-20,Ground,3
Deciduous duff,CS_31,IR & GR,2019-07-20,Ground,9
Picea glauca,CS_32,IR & GR,2019-07-27,Canopy O,10
Picea mariana,CS_32,IR & GR,2019-07-27,Canopy O,11
Betula papyrifera,CS_32,IR & GR,2019-07-27,Canopy O,2
Sky ,CS_32,IR & GR,2019-07-27,NA,2
Plants,CS_32,IR & GR,2019-07-27,Ground,6
Moss,CS_32,IR & GR,2019-07-27,Ground,5
Mushroom,CS_32,IR & GR,2019-07-27,Ground,1
Leaf litter,CS_32,IR & GR,2019-07-27,Ground,2
Decayed wood,CS_32,IR & GR,2019-07-27,Ground,2
Needle Duff,CS_32,IR & GR,2019-07-27,Ground,4
Picea mariana,CS_33,IR & GR,2019-07-16,Canopy O,11
Picea mariana,CS_33,IR & GR,2019-07-16,Canopy U,3
Picea glauca,CS_33,IR & GR,2019-07-16,Canopy O,5
Picea glauca,CS_33,IR & GR,2019-07-16,Canopy U,1
Betula papyrifera,CS_33,IR & GR,2019-07-16,Canopy O,2
Sky ,CS_33,IR & GR,2019-07-16,NA,2
Moss,CS_33,IR & GR,2019-07-16,Ground,2
Leaf litter,CS_33,IR & GR,2019-07-16,Ground,1
Mineral soil,CS_33,IR & GR,2019-07-16,Ground,2
Needle Duff,CS_33,IR & GR,2019-07-16,Ground,7
Deciduous duff,CS_33,IR & GR,2019-07-16,Ground,9
Picea glauca,CS_34,IR & GR,2019-07-13,Canopy O,4
Picea glauca,CS_34,IR & GR,2019-07-13,Canopy U,8
Picea mariana,CS_34,IR & GR,2019-07-13,Canopy O,5
Betula papyrifera,CS_34,IR & GR,2019-07-13,Canopy O,2
Plants,CS_34,IR & GR,2019-07-13,Ground,6
Moss,CS_34,IR & GR,2019-07-13,Ground,1
Needle Duff,CS_34,IR & GR,2019-07-13,Ground,7
Deciduous duff,CS_34,IR & GR,2019-07-13,Ground,5
Picea mariana,CS_35,IR & GR,2019-07-29,Canopy O,13
Picea mariana,CS_35,IR & GR,2019-07-29,Canopy U,2
Picea glauca,CS_35,IR & GR,2019-07-29,Canopy O,11
Picea glauca,CS_35,IR & GR,2019-07-29,Canopy U,3
Betula papyrifera,CS_35,IR & GR,2019-07-29,Canopy O,2
Plants,CS_35,IR & GR,2019-07-29,Ground,2
Moss,CS_35,IR & GR,2019-07-29,Ground,6
Mushroom,CS_35,IR & GR,2019-07-29,Ground,1
Leaf litter,CS_35,IR & GR,2019-07-29,Ground,1
Needle Duff,CS_35,IR & GR,2019-07-29,Ground,8
Deciduous duff,CS_35,IR & GR,2019-07-29,Ground,2
Picea mariana,CS_36,IR & GR,2019-07-14,Canopy O,6
Picea glauca,CS_36,IR & GR,2019-07-14,Canopy O,11
Alnus incana,CS_36,IR & GR,2019-07-14,Canopy U,1
Sky ,CS_36,IR & GR,2019-07-14,NA,2
Plants,CS_36,IR & GR,2019-07-14,Ground,5
Moss,CS_36,IR & GR,2019-07-14,Ground,4
Needle Duff,CS_36,IR & GR,2019-07-14,Ground,10
Deciduous duff,CS_36,IR & GR,2019-07-14,Ground,2
Picea mariana,CS_37,IR & GR,2019-07-25,Canopy O,1
Picea mariana,CS_37,IR & GR,2019-07-25,Canopy U,1
Alnus incana,CS_37,IR & GR,2019-07-25,Canopy U,1
Sky ,CS_37,IR & GR,2019-07-25,NA,17
Plants,CS_37,IR & GR,2019-07-25,Ground,11
Sphagnum,CS_37,IR & GR,2019-07-25,Ground,4
Water,CS_37,IR & GR,2019-07-25,Ground,5
Picea glauca,CS_38,IR & GR,2019-07-22,Canopy O,14
Picea glauca,CS_38,IR & GR,2019-07-22,Canopy U,1
Picea mariana,CS_38,IR & GR,2019-07-22,Canopy O,7
Picea mariana,CS_38,IR & GR,2019-07-22,Canopy U,2
Betula papyrifera,CS_38,IR & GR,2019-07-22,Canopy O,2
Alnus incana,CS_38,IR & GR,2019-07-22,Canopy O,1
Larix laricina,CS_38,IR & GR,2019-07-22,Canopy O,1
Plants,CS_38,IR & GR,2019-07-22,Ground,3
Moss,CS_38,IR & GR,2019-07-22,Ground,5
Leaf litter,CS_38,IR & GR,2019-07-22,Ground,1
Needle Duff,CS_38,IR & GR,2019-07-22,Ground,7
Deciduous duff,CS_38,IR & GR,2019-07-22,Ground,4
Picea mariana,CS_39,IR & GR,2019-07-24,Canopy O,9
Picea mariana,CS_39,IR & GR,2019-07-24,Canopy U,1
Picea glauca,CS_39,IR & GR,2019-07-24,Canopy O,3
Picea glauca,CS_39,IR & GR,2019-07-24,Canopy U,4
Larix laricina,CS_39,IR & GR,2019-07-24,Canopy O,1
Sky ,CS_39,IR & GR,2019-07-24,NA,4
Plants,CS_39,IR & GR,2019-07-24,Ground,6
Moss,CS_39,IR & GR,2019-07-24,Ground,9
Leaf litter,CS_39,IR & GR,2019-07-24,Ground,4
Needle Duff,CS_39,IR & GR,2019-07-24,Ground,1
Picea glauca,CS_40,IR & GR,2019-07-17,Canopy O,6
Picea glauca,CS_40,IR & GR,2019-07-17,Canopy U,4
Picea mariana,CS_40,IR & GR,2019-07-17,Canopy O,4
Picea mariana,CS_40,IR & GR,2019-07-17,Canopy U,1
Alnus incana,CS_40,IR & GR,2019-07-17,Canopy O,1
Alnus incana,CS_40,IR & GR,2019-07-17,Canopy U,3
Larix laricina,CS_40,IR & GR,2019-07-17,Canopy O,1
Sky ,CS_40,IR & GR,2019-07-17,NA,3
Plants,CS_40,IR & GR,2019-07-17,Ground,5
Moss,CS_40,IR & GR,2019-07-17,Ground,5
Leaf litter,CS_40,IR & GR,2019-07-17,Ground,2
Mineral soil,CS_40,IR & GR,2019-07-17,Ground,2
Needle Duff,CS_40,IR & GR,2019-07-17,Ground,7
Deciduous duff,CS_40,IR & GR,2019-07-17,Ground,1
Picea mariana,CS_41,IR & GR,2019-07-28,Canopy O,2
Picea mariana,CS_41,IR & GR,2019-07-28,Canopy U,1
Betula papyrifera,CS_41,IR & GR,2019-07-28,Canopy O,9
Alnus incana,CS_41,IR & GR,2019-07-28,Canopy U,16
Sky ,CS_41,IR & GR,2019-07-28,NA,2
Plants,CS_41,IR & GR,2019-07-28,Ground,13
Moss,CS_41,IR & GR,2019-07-28,Ground,2
Decayed wood,CS_41,IR & GR,2019-07-28,Ground,1
Deciduous duff,CS_41,IR & GR,2019-07-28,Ground,4
Picea glauca,CS_42,IR & GR,2019-07-13,Canopy O,7
Picea glauca,CS_42,IR & GR,2019-07-13,Canopy U,2
Picea mariana,CS_42,IR & GR,2019-07-13,Canopy O,2
Picea mariana,CS_42,IR & GR,2019-07-13,Canopy U,4
Larix laricina,CS_42,IR & GR,2019-07-13,Canopy O,1
Sky ,CS_42,IR & GR,2019-07-13,NA,4
Plants,CS_42,IR & GR,2019-07-13,Ground,10
Moss,CS_42,IR & GR,2019-07-13,Ground,1
Decayed wood,CS_42,IR & GR,2019-07-13,Ground,3
Needle Duff,CS_42,IR & GR,2019-07-13,Ground,5
Deciduous duff,CS_42,IR & GR,2019-07-13,Ground,1
Picea mariana,CS_43,IR & GR,2019-07-26,Canopy O,6
Picea mariana,CS_43,IR & GR,2019-07-26,Canopy U,3
Betula papyrifera,CS_43,IR & GR,2019-07-26,Canopy O,10
Abies balsamea,CS_43,IR & GR,2019-07-26,Canopy O,1
Alnus incana,CS_43,IR & GR,2019-07-26,Canopy U,11
Sky ,CS_43,IR & GR,2019-07-26,NA,1
Plants,CS_43,IR & GR,2019-07-26,Ground,6
Moss,CS_43,IR & GR,2019-07-26,Ground,1
Decayed wood,CS_43,IR & GR,2019-07-26,Ground,2
Needle Duff,CS_43,IR & GR,2019-07-26,Ground,1
Deciduous duff,CS_43,IR & GR,2019-07-26,Ground,10
Picea mariana,CS_44,IR & GR,2019-07-23,Canopy O,13
Picea mariana,CS_44,IR & GR,2019-07-23,Canopy U,5
Betula papyrifera,CS_44,IR & GR,2019-07-23,Canopy O,4
Larix laricina,CS_44,IR & GR,2019-07-23,Canopy O,1
Alnus incana,CS_44,IR & GR,2019-07-23,Canopy U,3
Sky ,CS_44,IR & GR,2019-07-23,NA,1
Plants,CS_44,IR & GR,2019-07-23,Ground,4
Moss,CS_44,IR & GR,2019-07-23,Ground,2
Leaf litter,CS_44,IR & GR,2019-07-23,Ground,1
Needle Duff,CS_44,IR & GR,2019-07-23,Ground,5
Deciduous duff,CS_44,IR & GR,2019-07-23,Ground,9
Picea mariana,CS_45,IR & GR,2019-07-19,Canopy O,6
Picea mariana,CS_45,IR & GR,2019-07-19,Canopy U,1
Betula papyrifera,CS_45,IR & GR,2019-07-19,Canopy O,1
Alnus incana,CS_45,IR & GR,2019-07-19,Canopy O,1
Alnus incana,CS_45,IR & GR,2019-07-19,Canopy U,11
Sky ,CS_45,IR & GR,2019-07-19,NA,2
Plants,CS_45,IR & GR,2019-07-19,Ground,8
Moss,CS_45,IR & GR,2019-07-19,Ground,1
Leaf litter,CS_45,IR & GR,2019-07-19,Ground,2
Decayed wood,CS_45,IR & GR,2019-07-19,Ground,2
Deciduous duff,CS_45,IR & GR,2019-07-19,Ground,7
Picea glauca,CS_46,IR & GR,2019-07-25,Canopy O,10
Picea mariana,CS_46,IR & GR,2019-07-25,Canopy O,4
Betula papyrifera,CS_46,IR & GR,2019-07-25,Canopy O,2
Alnus incana,CS_46,IR & GR,2019-07-25,Canopy U,2
Sky ,CS_46,IR & GR,2019-07-25,NA,6
Plants,CS_46,IR & GR,2019-07-25,Ground,8
Moss,CS_46,IR & GR,2019-07-25,Ground,5
Lichen,CS_46,IR & GR,2019-07-25,Ground,1
Leaf litter,CS_46,IR & GR,2019-07-25,Ground,2
Decayed wood,CS_46,IR & GR,2019-07-25,Ground,1
Needle Duff,CS_46,IR & GR,2019-07-25,Ground,1
Deciduous duff,CS_46,IR & GR,2019-07-25,Ground,2
Picea mariana,CS_47,IR & GR,2019-07-14,Canopy O,3
